label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE
RA_179.36DEC-32.55,12,105.21474839932785
RA_179.37DEC-31.51,12,166.98181538202286
RA_179.40DEC-32.96,12,632.9180471063402
RA_179.48DEC-30.67,11,103.45369790668624
RA_179.48DEC-31.37,11,130.50879026675082
RA_179.52DEC-31.65,11,970.1440218949108
RA_179.61DEC-33.14,11,144.80359862890367
RA_213.57DEC19.97,18,101.6690943230515
RA_285.68DEC18.37,18,207.4620721434254
RA_285.85DEC23.63,22,283.0654758290188
RA_285.93DEC23.36,22,348.97614295395664
RA_286.09DEC18.76,28,159.635250683812
RA_286.14DEC23.74,19,240.97314734813756
RA_286.16DEC23.33,20,750.805456819398
RA_286.16DEC23.77,18,94.96509299764674
RA_286.20DEC23.32,20,253.2769989547729
