"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Oct 18 2009","2455122.999988426","277560001","181.62","1.82e-7","3.60e-8","-1.74","-","59.92","1e-8","0","bin147.log"
"Oct 21 2009","2455125.999988426","277819201","142.18","1.88e-7","3.70e-8","-1.74","-","62.30","1e-8","0","bin148.log"
"Oct 24 2009","2455128.999988426","278078401","129.72","1.53e-7","3.40e-8","-1.74","-","64.68","1e-8","0","bin149.log"
"Oct 27 2009","2455131.999988426","278337601","191.74","2.46e-7","4.60e-8","-1.74","-","67.04","1e-8","0","bin150.log"
"Oct 30 2009","2455134.999988426","278596801","150.86","2.17e-7","4.00e-8","-1.74","-","69.39","1e-8","0","bin151.log"
"Nov 02 2009","2455137.999988426","278856001","50.49","1.41e-7","3.80e-8","-1.74","-","71.71","1e-8","0","bin152.log"
"Nov 05 2009","2455140.999988426","279115201","124.26","1.85e-7","3.90e-8","-1.74","-","74.01","1e-8","0","bin153.log"
"Nov 08 2009","2455143.999988426","279374401","77.49","1.39e-7","3.70e-8","-1.74","-","76.27","1e-8","0","bin154.log"
"Nov 11 2009","2455146.999988426","279633601","52.7","1.38e-7","4.21e-8","-1.74","-","78.50","1e-8","0","bin155.log"
"Nov 14 2009","2455149.999988426","279892801","199.21","2.34e-7","4.30e-8","-1.74","-","80.68","1e-8","0","bin156.log"
"Nov 17 2009","2455152.999988426","280152001","64.03","9.76e-8","3.00e-8","-1.74","-","82.83","1e-8","0","bin157.log"
"Nov 20 2009","2455155.999988426","280411201","17.02","8.36e-8","3.94e-8","-1.74","-","84.93","1e-8","0","bin158.log"
"Nov 23 2009","2455158.999988426","280670401","206.1","2.33e-7","4.10e-8","-1.74","-","86.98","1e-8","0","bin159.log"
"Nov 26 2009","2455161.999988426","280929601","168.63","1.73e-7","3.50e-8","-1.74","-","88.99","1e-8","0","bin160.log"
"Nov 29 2009","2455164.999988426","281188801","90.92","1.26e-7","3.24e-8","-1.74","-","90.94","1e-8","0","bin161.log"
"Dec 02 2009","2455167.999988426","281448001","90.81","1.76e-7","3.80e-8","-1.74","-","92.84","1e-8","0","bin162.log"
"Dec 05 2009","2455170.999988426","281707201","201.98","2.22e-7","4.00e-8","-1.74","-","94.70","1e-8","0","bin163.log"
"Dec 08 2009","2455173.999988426","281966401","167.65","2.19e-7","4.50e-8","-1.74","-","96.50","1e-8","0","bin164.log"
"Dec 11 2009","2455176.999988426","282225601","128.09","1.54e-7","3.50e-8","-1.74","-","98.25","1e-8","0","bin165.log"
"Dec 14 2009","2455179.999988426","282484801","179.21","2.23e-7","4.00e-8","-1.74","-","99.95","1e-8","0","bin166.log"
"Dec 17 2009","2455182.999988426","282744001","170.66","2.02e-7","3.80e-8","-1.74","-","101.61","1e-8","0","bin167.log"
"Dec 20 2009","2455185.999988426","283003201","199.12","2.53e-7","4.30e-8","-1.74","-","103.22","1e-8","0","bin168.log"
"Dec 23 2009","2455188.999988426","283262401","157.42","2.22e-7","4.40e-8","-1.74","-","104.80","1e-8","0","bin169.log"
"Dec 26 2009","2455191.999988426","283521601","211.77","2.60e-7","4.40e-8","-1.74","-","106.35","1e-8","0","bin170.log"
"Dec 29 2009","2455194.999988426","283780801","226.07","2.98e-7","5.20e-8","-1.74","-","107.86","1e-8","0","bin171.log"
"Jan 01 2010","2455197.999988426","284040001","217.62","3.11e-7","5.40e-8","-1.74","-","109.35","1e-8","0","bin172.log"
"Jan 04 2010","2455200.999988426","284299201","131.83","1.89e-7","4.20e-8","-1.74","-","110.82","1e-8","0","bin173.log"
"Jan 07 2010","2455203.999988426","284558401","227.12","2.80e-7","4.60e-8","-1.74","-","112.27","1e-8","0","bin174.log"
"Jan 10 2010","2455206.999988426","284817601","275.87","3.15e-7","4.80e-8","-1.74","-","113.71","1e-8","0","bin175.log"
"Jan 13 2010","2455209.999988426","285076801","169.5","2.21e-7","4.30e-8","-1.74","-","115.15","1e-8","0","bin176.log"
"Jan 16 2010","2455212.999988426","285336001","73.91","1.33e-7","3.54e-8","-1.74","-","116.57","1e-8","0","bin177.log"
"Jan 19 2010","2455215.999988426","285595201","78.89","1.10e-7","3.05e-8","-1.74","-","117.99","1e-8","0","bin178.log"
"Jan 22 2010","2455218.999988426","285854401","79.93","1.40e-7","3.60e-8","-1.74","-","119.41","1e-8","0","bin179.log"
"Jan 25 2010","2455221.999988426","286113601","181.54","1.80e-7","3.60e-8","-1.74","-","120.82","1e-8","0","bin180.log"
"Jan 28 2010","2455224.999988426","286372801","104.73","1.50e-7","3.60e-8","-1.74","-","122.24","1e-8","0","bin181.log"
